,unixtime,location,currency,buy_price,buy_quantity,sell_price,sell_quantity
0,1578430315.7,AUXZU,USD,50410,0.056,50570,0.948
1,1578430315.7,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430315.7,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430315.7,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430315.7,AUXLN,USD,50410,0.95,50560,0.948
5,1578430315.7,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430315.7,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430315.7,AUXNY,USD,50370,0.95,50590,0.953
8,1578430315.7,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430315.7,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430315.7,AUXTR,USD,50370,0.95,50590,0.953
11,1578430315.7,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430315.7,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430315.7,AUXSG,USD,50410,0.95,50600,0.5
14,1578430315.7,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430315.7,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430315.7,AGXZU,USD,590,7.463,592,4.999
17,1578430315.7,AGXZU,GBP,448,54.201,450,0.543
18,1578430315.7,AGXZU,EUR,525,9.996,528,55.182
19,1578430315.7,AGXLN,USD,590,27.263,591,1.996
20,1578430315.7,AGXLN,GBP,448,54.435,450,3.318
21,1578430315.7,AGXLN,EUR,528,41.732,531,14.965
22,1578430315.7,AGXTR,USD,589,27.225,595,0.623
23,1578430315.7,AGXTR,GBP,448,26.231,457,44.646
24,1578430315.7,AGXTR,EUR,528,26.708,536,6.23
25,1578430315.7,AGXSG,USD,590,7.463,595,0.093
26,1578430315.7,AGXSG,GBP,448,26.231,455,2
27,1578430315.7,AGXSG,EUR,528,26.708,535,3
28,1578430315.7,PTXLN,USD,31080,0.666,31340,0.647
29,1578430315.7,PTXLN,GBP,23680,0.628,23890,0.655
30,1578430315.7,PTXLN,EUR,27900,0.1,28130,0.654
0,1578430320.9,AUXZU,USD,50410,0.056,50570,0.948
1,1578430320.9,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430320.9,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430320.9,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430320.9,AUXLN,USD,50410,0.95,50560,0.948
5,1578430320.9,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430320.9,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430320.9,AUXNY,USD,50370,0.95,50590,0.953
8,1578430320.9,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430320.9,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430320.9,AUXTR,USD,50370,0.95,50590,0.953
11,1578430320.9,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430320.9,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430320.9,AUXSG,USD,50410,0.95,50600,0.5
14,1578430320.9,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430320.9,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430320.9,AGXZU,USD,590,7.463,592,4.999
17,1578430320.9,AGXZU,GBP,448,54.201,450,0.543
18,1578430320.9,AGXZU,EUR,525,9.996,528,55.182
19,1578430320.9,AGXLN,USD,590,27.263,591,1.996
20,1578430320.9,AGXLN,GBP,448,54.435,450,3.318
21,1578430320.9,AGXLN,EUR,528,41.732,531,14.965
22,1578430320.9,AGXTR,USD,589,27.225,595,0.623
23,1578430320.9,AGXTR,GBP,448,26.231,457,44.646
24,1578430320.9,AGXTR,EUR,528,26.708,536,6.23
25,1578430320.9,AGXSG,USD,590,7.463,595,0.093
26,1578430320.9,AGXSG,GBP,448,26.231,455,2
27,1578430320.9,AGXSG,EUR,528,26.708,535,3
28,1578430320.9,PTXLN,USD,31080,0.666,31340,0.647
29,1578430320.9,PTXLN,GBP,23680,0.628,23890,0.655
30,1578430320.9,PTXLN,EUR,27900,0.1,28130,0.654
0,1578430326.0,AUXZU,USD,50410,0.056,50570,0.948
1,1578430326.0,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430326.0,AUXZU,EUR,45240,0.847,45250,0.011
3,1578430326.0,AUXZU,JPY,5469000,1.922,5490000,1.902
4,1578430326.0,AUXLN,USD,50410,0.95,50560,0.948
5,1578430326.0,AUXLN,GBP,38420,0.934,38500,0.88
6,1578430326.0,AUXLN,EUR,45240,0.943,45380,1.039
7,1578430326.0,AUXNY,USD,50370,0.95,50590,0.953
8,1578430326.0,AUXNY,GBP,38380,0.948,38570,1.872
9,1578430326.0,AUXNY,EUR,45210,0.953,45410,0.953
10,1578430326.0,AUXTR,USD,50370,0.95,50590,0.953
11,1578430326.0,AUXTR,GBP,38380,0.948,38570,1.872
12,1578430326.0,AUXTR,EUR,45210,0.953,45410,0.953
13,1578430326.0,AUXSG,USD,50410,0.95,50600,0.5
14,1578430326.0,AUXSG,GBP,38420,0.934,38570,0.946
15,1578430326.0,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430326.0,AGXZU,USD,590,7.463,592,4.999
17,1578430326.0,AGXZU,GBP,448,54.201,450,0.543
18,1578430326.0,AGXZU,EUR,525,9.996,528,55.182
19,1578430326.0,AGXLN,USD,590,27.263,591,1.996
20,1578430326.0,AGXLN,GBP,448,54.435,450,3.318
21,1578430326.0,AGXLN,EUR,528,41.732,531,14.965
22,1578430326.0,AGXTR,USD,589,27.225,595,0.623
23,1578430326.0,AGXTR,GBP,448,26.231,457,44.646
24,1578430326.0,AGXTR,EUR,528,26.708,536,6.23
25,1578430326.0,AGXSG,USD,590,7.463,595,0.093
26,1578430326.0,AGXSG,GBP,448,26.231,455,2
27,1578430326.0,AGXSG,EUR,528,26.708,535,3
28,1578430326.0,PTXLN,USD,31080,0.666,31340,0.647
29,1578430326.0,PTXLN,GBP,23680,0.628,23880,0.655
30,1578430326.0,PTXLN,EUR,27900,0.1,28120,0.654
0,1578430331.2,AUXZU,USD,50410,0.056,50570,0.948
1,1578430331.2,AUXZU,GBP,38420,0.934,38540,0.934
2,1578430331.2,AUXZU,EUR,45240,0.847,45250,0.011
